word,vid_count,total_count
eating,185,612
neck,75,101
body,334,3039
dealing,27,28
call,216,355
form,211,327
huddled,41,47
still,467,1060
if,613,4533
hey,149,290
clump,26,31
second,274,454
natural,98,159
point,339,606
for,620,8829
tells,241,382
anticoagulants,4,4
sorry,83,127
dose,120,239
normal,260,712
slowly,106,124
one,600,3317
description,175,218
even,540,1607
skull,79,161
contents,45,54
thrombocytes,4,28
19,37,48
like,608,4884
laying,36,46
many,344,597
cut,129,207
so,611,6435
nausea,94,179
little,412,969
ambulance,88,109
brain,263,1818
immune,148,556
completely,172,221
cell,178,702
be,613,6123
when,575,3343
anyways,127,181
putting,75,94
sequence,22,29
bruise-like,10,16
same,379,750
everywhere,81,119
respiratory,62,161
float,38,38
literature,62,70
is,622,16121
feet,84,159
bell,13,13
just,599,3668
him,277,1198
and,622,26462
will,493,1659
test,189,379
causing,269,881
coagulate,4,4
mouth,182,335
tube,135,259
much,520,1568
’,403,18091
blur,8,8
confirmed,71,101
unit,112,204
give,284,570
missed,57,84
improve,39,42
covering,25,25
sun,44,98
small,279,486
spots,25,49
mean,305,553
clots,51,82
hard,208,335
correct,74,101
grow,92,143
only,541,1581
stabilized,26,26
fetal,4,4
vision,70,181
thanks,236,327
light,94,157
state,161,289
bleed,40,69
video,400,995
occasionally,17,17
team,175,493
nothing,300,457
stop,302,598
the,622,48997
destroyed,32,41
days,325,1009
they,601,5369
through,426,1132
twice,51,57
were,511,2321
between,204,323
becomes,189,324
based,124,163
better,291,514
room,306,1062
placed,75,98
back,501,1699
legs,103,188
thin,15,16
expensive,48,76
something,514,1801
pain,174,483
pool,127,157
breathe,100,189
meningitis,11,23
antibiotic,49,85
put,329,540
ancient,91,156
dilate,21,29
though,308,530
first,513,1433
platelets,10,16
entering,30,35
hurt,79,119
penia,10,10
vessels,131,295
helicopter,13,20
consumed,87,110
surroundings,12,12
sure,294,467
appearing,18,18
materialize,4,4
place,296,452
show,197,323
see,532,1757
explain,142,169
harder,106,168
healthy,162,268
parts,211,389
age,111,202
anyone,156,216
skin,162,475
school,142,265
medical,234,787
accident,62,79
means,386,1154
cheeks,34,34
poverty,10,10
multiple,117,172
keep,264,511
turns,114,158
immediately,250,488
remnants,11,11
hit,110,201
fulmen,4,4
watching,345,413
.,493,43670
before,451,940
schedule,31,39
stomach,213,818
doctors,177,967
eventually,158,211
getting,319,646
happen,258,466
everything,330,613
fingers,48,76
too,449,1270
over,497,1455
that,622,20564
move,152,216
going,518,1895
man,279,587
failure,104,340
ox,11,11
ripple,5,6
leg,39,72
started,359,1222
come,334,735
